Date,Open,High,Low,Close,Volume,CloseLag1,CloseLag2,CloseLag3,HML,HMLLag1,HMLLag2,HMLLag3,OMC,OMCLag1,OMCLag2,OMCLag3,VolumeLag1,VolumeLag2,VolumeLag3,CloseEMA2,CloseEMA4,CloseEMA8,LogReturn,Target
2000-03-06,59.75,59.75,59.0,59.400001525878906,29,59.04999923706055,58.650001525878906,59.5,0.75,0.6500015258789062,1.0999984741210938,3.700000762939453,0.34999847412109375,0.0,1.0999984741210938,-2.5,17,21,256,58.7580980243591,58.38391718612098,57.89433400370793,0.00590972233365267,1
2000-03-07,59.400001525878906,59.650001525878906,58.75,59.650001525878906,37,59.400001525878906,59.04999923706055,58.650001525878906,0.9000015258789062,0.75,0.6500015258789062,1.0999984741210938,-0.25,0.34999847412109375,0.0,1.0999984741210938,29,17,21,59.079049775119024,58.68152146993301,58.1340081323045,0.004199922067663603,1
2000-03-08,59.599998474121094,60.900001525878906,59.599998474121094,60.5,56,59.650001525878906,59.400001525878906,59.04999923706055,1.3000030517578125,0.9000015258789062,0.75,0.6500015258789062,-0.9000015258789062,-0.25,0.34999847412109375,0.0,37,29,17,59.36452565049897,58.96518275869735,58.375307191608435,0.014149190912336195,1
2000-03-09,61.70000076293945,61.70000076293945,61.0,61.0099983215332,0,60.5,59.650001525878906,59.400001525878906,0.7000007629394531,1.3000030517578125,0.9000015258789062,0.75,0.69000244140625,-0.9000015258789062,-0.25,0.34999847412109375,56,37,29,59.932262825249495,59.41472037438193,58.71347019042655,0.008394392615625804,1
2000-03-10,62.90999984741211,63.75,62.599998474121094,63.599998474121094,5869,61.0099983215332,60.5,59.650001525878906,1.1500015258789062,0.7000007629394531,1.3000030517578125,0.9000015258789062,-0.6899986267089844,0.69000244140625,-0.9000015258789062,-0.25,0,56,37,60.47113057339135,59.881966506611086,59.07896216321805,0.04157568870184794,1
2000-03-13,63.0,63.45000076293945,62.2599983215332,63.209999084472656,7016,63.599998474121094,61.0099983215332,60.5,1.19000244140625,1.1500015258789062,0.7000007629394531,1.3000030517578125,-0.20999908447265625,-0.6899986267089844,0.69000244140625,-0.9000015258789062,5869,0,56,62.03556452375623,60.970952922135055,59.79845090348157,-0.006150944353962653,0
2000-03-14,63.0,63.79999923706055,62.75,63.36000061035156,4238,63.209999084472656,63.599998474121094,61.0099983215332,1.0499992370605469,1.19000244140625,1.1500015258789062,0.7000007629394531,-0.3600006103515625,-0.20999908447265625,-0.6899986267089844,0.69000244140625,7016,5869,0,62.622781804114446,61.62675438733399,60.34135190454592,0.0023702551389373767,1
2000-03-15,63.849998474121094,63.95000076293945,62.79999923706055,63.220001220703125,5493,63.36000061035156,63.209999084472656,63.599998474121094,1.1500015258789062,1.0499992370605469,1.19000244140625,1.1500015258789062,0.6299972534179688,-0.3600006103515625,-0.20999908447265625,-0.6899986267089844,4238,7016,5869,62.99139120723301,62.1344104677192,60.82171266108391,-0.0022120310429602935,0
2000-03-16,62.79999923706055,63.20000076293945,62.45000076293945,62.540000915527344,3519,63.220001220703125,63.36000061035156,63.209999084472656,0.75,1.1500015258789062,1.0499992370605469,1.19000244140625,0.2599983215332031,0.6299972534179688,-0.3600006103515625,-0.20999908447265625,5493,4238,7016,63.105696213968066,62.45237264437534,61.20334436846118,-0.010814359427520305,0
2000-03-17,62.70000076293945,63.0,62.36000061035156,62.689998626708984,3509,62.540000915527344,63.220001220703125,63.36000061035156,0.6399993896484375,0.75,1.1500015258789062,1.0499992370605469,0.01000213623046875,0.2599983215332031,0.6299972534179688,-0.3600006103515625,3519,5493,4238,62.8228485647477,62.478038371154554,61.41603718015199,0.0023955567110514374,1
2000-03-20,62.150001525878906,62.310001373291016,61.0099983215332,61.13999938964844,9131,62.689998626708984,62.540000915527344,63.220001220703125,1.3000030517578125,0.6399993896484375,0.75,1.1500015258789062,1.0100021362304688,0.01000213623046875,0.2599983215332031,0.6299972534179688,3509,3519,5493,62.75642359572834,62.540120093318556,61.618749821273916,-0.025035616899978522,0
2000-03-21,60.77000045776367,61.90999984741211,60.5,61.380001068115234,6969,61.13999938964844,62.689998626708984,62.540000915527344,1.4099998474121094,1.3000030517578125,0.6399993896484375,0.75,-0.6100006103515625,1.0100021362304688,0.01000213623046875,0.2599983215332031,9131,3509,3519,61.94821149268839,62.13003423063788,61.54257233601084,0.003917760113435324,1
2000-03-22,60.900001525878906,61.150001525878906,59.79999923706055,59.86000061035156,8345,61.380001068115234,61.13999938964844,62.689998626708984,1.3500022888183594,1.4099998474121094,1.3000030517578125,0.6399993896484375,1.0400009155273438,-0.6100006103515625,1.0100021362304688,0.01000213623046875,6969,9131,3509,61.66410628040181,61.910354602292436,61.516704786956154,-0.025075553972401535,0
2000-03-23,59.75,60.02000045776367,58.900001525878906,59.040000915527344,10149,59.86000061035156,61.380001068115234,61.13999938964844,1.1199989318847656,1.3500022888183594,1.4099998474121094,1.3000030517578125,0.7099990844726562,1.0400009155273438,-0.6100006103515625,1.0100021362304688,8345,6969,9131,60.76205344537669,61.3098198196487,61.253101124503495,-0.013793316821753911,0
2000-03-24,59.04999923706055,59.54999923706055,58.5,58.810001373291016,8009,59.040000915527344,59.86000061035156,61.380001068115234,1.0499992370605469,1.1199989318847656,1.3500022888183594,1.4099998474121094,0.23999786376953125,0.7099990844726562,1.0400009155273438,-0.6100006103515625,10149,8345,6969,59.90102718045202,60.64500525294573,60.900970875033764,-0.0039032639759340095,0
2000-03-27,59.04999923706055,59.400001525878906,58.5,59.209999084472656,3497,58.810001373291016,59.040000915527344,59.86000061035156,0.9000015258789062,1.0499992370605469,1.1199989318847656,1.3500022888183594,-0.15999984741210938,0.23999786376953125,0.7099990844726562,1.0400009155273438,8009,10149,8345,59.35551427687152,60.10754505909739,60.56827577313207,0.006778499258125227,1
2000-03-28,59.20000076293945,59.599998474121094,58.95000076293945,59.150001525878906,3666,59.209999084472656,58.810001373291016,59.040000915527344,0.6499977111816406,0.9000015258789062,1.0499992370605469,1.1199989318847656,0.049999237060546875,-0.15999984741210938,0.23999786376953125,0.7099990844726562,3497,8009,10149,59.28275668067209,59.84465992921025,60.35216123972069,-0.0010138148601427823,0
2000-03-29,58.5,58.70000076293945,57.81999969482422,57.95000076293945,8772,59.150001525878906,59.209999084472656,58.810001373291016,0.8800010681152344,0.6499977111816406,0.9000015258789062,1.0499992370605469,0.5499992370605469,0.049999237060546875,-0.15999984741210938,0.23999786376953125,3666,3497,8009,59.2163791032755,59.64119919329323,60.160887482599065,-0.020496033269926092,0
2000-03-30,57.95000076293945,58.45000076293945,57.5099983215332,57.56999969482422,7071,57.95000076293945,59.150001525878906,59.209999084472656,0.94000244140625,0.8800010681152344,0.6499977111816406,0.9000015258789062,0.3800010681152344,0.5499992370605469,0.049999237060546875,-0.15999984741210938,8772,3666,3497,58.58318993310748,59.14585864104845,59.80911845289349,-0.006578989564472048,0
2000-03-31,57.75,58.900001525878906,57.720001220703125,58.13999938964844,8519,57.56999969482422,57.95000076293945,59.150001525878906,1.1800003051757812,0.94000244140625,0.8800010681152344,0.6499977111816406,-0.3899993896484375,0.3800010681152344,0.5499992370605469,0.049999237060546875,7071,8772,3666,58.07659481396585,58.68430024167793,59.452858944021656,0.00985229124600019,1
2000-04-03,57.5,58.45000076293945,57.400001525878906,58.38999938964844,4412,58.13999938964844,57.56999969482422,57.95000076293945,1.0499992370605469,1.1800003051757812,0.94000244140625,0.8800010681152344,-0.8899993896484375,-0.3899993896484375,0.3800010681152344,0.5499992370605469,8519,7071,8772,58.10829710180714,58.52487821307162,59.24397449226434,0.004290747209664031,1
